"ID"	"Type"	"Name"	"Documentation"	"Source"	"Target"	"Specialization"
"id-82ea04c54ea54f7e914d821ac35617c9"	"AssignmentRelationship"	""	""	"id-5f4cf514f7024a0199a6bbb8d44336cb"	"id-eb1c32ceac5b498ab27d6bb4fca5df45"	""
"id-ea50963195ba41e5a205d8e175a95803"	"AssignmentRelationship"	""	""	"id-5f4cf514f7024a0199a6bbb8d44336cb"	"id-db059c2c21964563a30328c90a215169"	""
"id-55f26c91380e441b95506ebece4489d1"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-62913ece2b3c45d4a067a7494d0208ca"	""
"id-313daa9f85d342b3a445a7fd9c8ff031"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-db34bbaa23fd45f2930a7627f7c035a8"	""
"id-c2b3718dc2ba41578f3ff5c36611b98d"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-2d19cecdd8804ea3afbbee1969e34986"	""
"id-9027235ba0984b8aa0d31fe2d82c3580"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-a48418fb275e4c15b67c79ca92bab174"	""
"id-1ccce92b6262488b9b53e3f0d1cdbf1c"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-5d38fe24c1024abe9b9b906d83471883"	""
"id-0d6fa97c00d5437fbe8ba6467a885996"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-ea7842b39852402481e9753edc0346ac"	""
"id-63ad04c306784ecf9f79138f5a82fa82"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-e54aa09f675b4d989d4458e2f2c55437"	""
"id-0651d993b20f40128722d2b2cb7f73ac"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-7ed23fa2b8d3477a81a94e76b10bbebb"	""
"id-6fd3f799154a4ac1b602f936c4447eff"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-d57df4ad2a684d4382e38c5e12cf5a90"	""
"id-e2c3f136233e438a90559891e67cf221"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-acd552e9cd424aa29c10d1596fd174c5"	""
"id-8233225f82b34e30b097e7f30984756d"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-325752875e6b4f2895a0b3e1f2875446"	""
"id-f9647d0c4298467289e29a4bb249b37f"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-d8010143ded54f71b0104b1e02f89f26"	""
"id-e675fc1356b84692adade3ef49c0f4d2"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-7cf8d1fbd57349a685d97a4f16d3f924"	""
"id-3bc8d289c61c4435a66cabc58641f9c3"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-90020adbda02431fbf6e10c781d9ea3f"	""
"id-6e42cefe939241e5a3aedf64c34df43b"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-ee1f6643c3204feaa6b4b14f231798a7"	""
"id-8ec9d9dc12b841d39105ff9ea3d6d37c"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-8c8055ffe3d34a3d8633b22465e7a06f"	""
"id-3a0ed0aacfb94611b01ca88f83325881"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-a2083411bf9d4345b113f7f609623367"	""
"id-c53f1579882345eeb3910dca984a8beb"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-6539db82cbf04ba19db9e9289f055294"	""
"id-e4d7dc93724e415fb4fd4cf91405204d"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-9ccc5d4a1e95470d8e3070eb70359f69"	""
"id-9507f64da2cd43edbc514db4fdc45942"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-d8af45ecf79e4a889ad6340dfdb66d3d"	""
"id-9127471500864d8e815202d27955cedb"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-c3e5f92ccad54bf284a01960c1c2eb61"	""
"id-ce607492386c4fb99510ed5527226255"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-94db1f03472a49ecb5ea094fefe3c434"	""
"id-0848d9a6d1ae4e779ee3508d45e28645"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-47836a5ae115411b837b9b28f9163ece"	""
"id-b0fef35a084b48ce9b8f433644c31179"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-f85e26d42a554d62b49004922f876a41"	""
"id-8e050d5f1ba343c59dccde8653f2e59e"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-a82970961064416a8f5feb84e8d31b63"	""
