"ID"	"Key"	"Value"
"id-ad55d5f9b2214f53a90d58111746555c"	"Directed"	"false"
"id-64cea78993d842e59dbbac0ed7f6baa7"	"Directed"	"false"
"id-4480394fe58c44268d198ba291a0a62c"	"Directed"	"false"
"id-ea7012a3332d4acd8453ea53b32aa7a2"	"Directed"	"false"
"id-321a5701be1547d79e45ad56d2aeff52"	"Directed"	"false"
"id-bc4e8640dc764fd89f7ffbb2893b2580"	"Directed"	"false"
"id-03b91640fb76424a8ba813233d355240"	"Directed"	"false"
"id-834846e23587473a8c1526dd71bf8155"	"Directed"	"false"
"id-40b8fd8bdaf44d93ae82a6b063089032"	"Directed"	"false"
"id-de7ba13ad980453bb633876dbf2839fa"	"Directed"	"false"
"id-747d67ffaf18469c9c1dbd1a1b4f7f56"	"Directed"	"false"
"id-e49c515abbae450d9395b2168ef06727"	"Directed"	"false"
"id-4056e566641043b4949a69eed312a92a"	"Directed"	"false"
"id-184ca7dc985f4fb587bdcab886261e3a"	"Directed"	"false"
"id-8c7d99352a9848e8add07f70cce9cb36"	"Directed"	"false"
"id-7bc55cbfdc1849069ecb948a995508b4"	"Directed"	"false"
"id-d10aac4bfb024aceb78683895a91f847"	"Access_Type"	"Write"
"id-76deac3c0b1043109ae06d372aa01121"	"Access_Type"	"Write"
"id-5c4fdfa7d1f3439ab84cdefa36c5aa93"	"Access_Type"	"Write"
"id-4689f2285a044832a5a8a1107c042779"	"Access_Type"	"Write"
"id-c6354cac9de142d08c8f77a6d58d7fba"	"Access_Type"	"Write"
"id-4a0529f7436b4d1099f2adb05d7838d1"	"Access_Type"	"Write"
"id-314e9f7615d64e6682fc480c25069b0a"	"Access_Type"	"Write"
"id-0930085b330c4fcf9fab7c1828c689e5"	"Access_Type"	"Write"
"id-1f8646d31d014e41ae13eec1b3ea7fc5"	"Access_Type"	"Write"
"id-97937c3cbbf24f6e906f0ae340a0253f"	"Access_Type"	"Write"
"id-18b40f1c002549d5a7eb40e420cf9d7e"	"Access_Type"	"Write"
"id-6c1942b63c14406baa131255ebc3b4ab"	"Access_Type"	"Write"
"id-c1b1c4dc6c1547a8a9b5410ae1d8e015"	"Access_Type"	"Write"
"id-2d8cb85ecc5c41beb144fc3e06bed6c5"	"Access_Type"	"Write"
"id-caf24668a9d84dc6ad9b71176a1666b3"	"Access_Type"	"Write"
"id-a8739669710e4d6eb6ea3a7c70975322"	"Access_Type"	"Write"
"id-f419988e732c4709b01a1e192f19d242"	"Access_Type"	"Write"
"id-0b17f62346434bc4b9827894e9bed9cf"	"Access_Type"	"Write"
"id-5da64cbddcc14dc6800fbc5139c9171d"	"Access_Type"	"Write"
"id-a1f53269289c4731b83e24591fbcaa75"	"Access_Type"	"Write"
"id-d9f7cc0990214329a3bf18c4397fa9fc"	"Access_Type"	"Write"
"id-170a4246d8154138b967781de497109c"	"Access_Type"	"Write"
"id-3333b7013dd540f5887b32072a281b2a"	"Access_Type"	"Write"
"id-79b63d1f525540d8bd0d4dcd28f12eef"	"Access_Type"	"Write"
"id-8bc8332715d54bbc9f5560d68e122430"	"Access_Type"	"Write"
