"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-32ce5e4a1daf4093a25a12173f342620","CompositionRelationship","","","id-dfab0d8bf78e437d960a1b1f395e5785","id-84ee2e9ff4ae41a1b91ac25b3e16e6ce",""
"id-b909674d75514ed3b1e34d33dbbf8a33","CompositionRelationship","","","id-7d61a8d17d3d428fb399e35ec88a9cad","id-02b925f73cfd4175a3e87d6b89d62961",""
"id-525b97d1a6144b71a96e519c26740db5","CompositionRelationship","","","id-7d61a8d17d3d428fb399e35ec88a9cad","id-4f6352f4ac394f12a57c41903e8da501",""
"id-c10c81d244224093911a92790451133d","CompositionRelationship","","","id-cc04ca8520ef4f258704adf5bb19a9bd","id-b7d88d50ca804434b4a2fec6a3df01b4",""
"id-6bd7b0f86dd9403caf7163a4f520cb0d","CompositionRelationship","","","id-cc04ca8520ef4f258704adf5bb19a9bd","id-a2db4f5a45e4462499592a786375485c",""
"id-c68fda5a475e4016badaadf08aa7f245","CompositionRelationship","","","id-e617c5e828764b5ab63f736e2e6dbfd3","id-54c4fe810f674738920cd9c4640c556a",""
"id-08b3ee37c0654796b8026caabee9e983","CompositionRelationship","","","id-e617c5e828764b5ab63f736e2e6dbfd3","id-8056c77f610a49d79708050c8a341a7b",""
"id-62bebaf7dec240a29ddd0cce6fd92968","CompositionRelationship","","","id-e617c5e828764b5ab63f736e2e6dbfd3","id-5e68be7d0eef409cae53be8925831152",""
"id-4153d49c9fb944cd93390619a3f8f19b","CompositionRelationship","","","id-e617c5e828764b5ab63f736e2e6dbfd3","id-03ce5791bbf04015a7caf535482281e7",""
"id-749b21865a6d4c1dabd3835d3c700f40","CompositionRelationship","","","id-fa7a9944b67940acad7d98de507ca9d8","id-4235e8410cda404dabb99e56e955b6fa",""
"id-cdb45c2020634a71a6c9b6e970684a0e","CompositionRelationship","","","id-fa7a9944b67940acad7d98de507ca9d8","id-e200360fb7fa404fa47aff50340cfaa0",""
"id-1444ad5fa8654a339a47be71727b63f9","CompositionRelationship","","","id-fa7a9944b67940acad7d98de507ca9d8","id-2c670d74940e4361b426ba14686c872e",""
"id-37ac84fb1f8e45939270718f36c3f2c8","CompositionRelationship","","","id-fa7a9944b67940acad7d98de507ca9d8","id-bdab11921b6e4385a3e02d71c6db156e",""
"id-6d8e64999d61471e96241eaceb1cdced","CompositionRelationship","","","id-fa7a9944b67940acad7d98de507ca9d8","id-89a13926674e47c0b17fc5a3a5df77a3",""
"id-50713b1b09b749018f4fb81eb0116687","CompositionRelationship","","","id-fa7a9944b67940acad7d98de507ca9d8","id-9da28c9cc3c14001b1a9752b1d65d38c",""
"id-000ed1e68be0477b91971b6a9e30e9e3","CompositionRelationship","","","id-fa7a9944b67940acad7d98de507ca9d8","id-d5d64ef5f1a14fb3a181155d3fce4562",""
"id-39c94eac153243fbba37db0b4dc69f3e","FlowRelationship","","","id-7da3f3d13c9a4229a15fac833e414ce4","id-7f036ad2bfea4611b69a7914ea6355a5",""
"id-1c706cec66904a7fbd77747507a0ad0c","FlowRelationship","","","id-23e5af0708fb4467b610560f4fcb29a4","id-d92dd2620d164dc2b96469b3fb8b4ee7",""
"id-75ecc006cbcc4ab7bb02cc8d46daadbf","RealizationRelationship","","","id-2392d6e24bea43de903d190eed81e475","id-868dcc15cd2440c2b1058576f4bce013",""
"id-b6a5b886a8404827b20c0fe56eabfab2","RealizationRelationship","","","id-2392d6e24bea43de903d190eed81e475","id-bbf2ecd206764b07a4a51d93479027e6",""
"id-edaa49f8f8284b34afd74ccd11d2f36d","RealizationRelationship","","","id-e983d9a8f9f247879fe0ae8dada7acf0","id-aa7f3f63a5f04c3680e2300e34a97ba5",""
"id-264b75897dc44744aba89cb9d7edf638","RealizationRelationship","","","id-e983d9a8f9f247879fe0ae8dada7acf0","id-c8d6c7c8b2e04d8cb298a9d6318dbf5f",""
"id-0515ae00ec374a87980923cee37b7eef","RealizationRelationship","","","id-e983d9a8f9f247879fe0ae8dada7acf0","id-bd216dd5340744b69455f87ec6a08243",""
"id-9316e7e0d31d4ea49f7d51a08ec43852","RealizationRelationship","","","id-57b0687f315848609dbf2b60f335159c","id-0f5a2d449bd4459e96416906d7b8c049",""
"id-2690046d8ef9453ea9cef432095af381","RealizationRelationship","","","id-d01a27e84e0649d1aa5da555e2208881","id-1480254b33514e94b3aa751d6587e96a",""
"id-2a33a8083ced4e57bbc1f9155b2a27f5","RealizationRelationship","","","id-b1f0a70c636b4612a7d95e63c91c5072","id-8cf4a253bc7b4a41870ae4d57ffa053e",""
"id-cf178bffc99d49b2a9dc3141d145193b","RealizationRelationship","","","id-b1f0a70c636b4612a7d95e63c91c5072","id-3c10002d53334657af25d7a5ceaff8db",""
"id-700e15c989914ef18c774b3f603f3e1e","RealizationRelationship","","","id-b1f0a70c636b4612a7d95e63c91c5072","id-937bb8315c8a4f67bf192088a6eb1d6c",""
"id-3ab5ad9e0b3c4532a04c40eb4979c4c0","RealizationRelationship","","","id-3c01de978fbb4bda8fd9f840c97bdbe9","id-8a9d93d7eb8a4ed682056596b9c6100f",""
"id-0a8c74d630894f24bf46d8b16a06da58","RealizationRelationship","","","id-3c01de978fbb4bda8fd9f840c97bdbe9","id-6f2636f7953446edbd03677437a96b91",""
"id-aca0f864536e434ab7495ed49cfba2d0","RealizationRelationship","","","id-996995356116460bb837b8dcff56028a","id-7ad01926db224ac28c3e63ed4f6b58f5",""
"id-5eb709b141ee4524929942f5805c3575","RealizationRelationship","","","id-996995356116460bb837b8dcff56028a","id-3423fc2bc51042e1b8a69bd2f1c62be2",""
"id-8fd52547e59c4773b553e1ab2d93db2a","RealizationRelationship","","","id-996995356116460bb837b8dcff56028a","id-c9ee89eff5b0463cb9a3982adb8b18dd",""
"id-4c6bae7429174df1bc516b9bef1ba6a6","RealizationRelationship","","","id-996995356116460bb837b8dcff56028a","id-88a29c1437604ec08d2ad4eb9617e284",""
"id-333bbd7c904e4411951d71892ecba29c","RealizationRelationship","","","id-996995356116460bb837b8dcff56028a","id-37a8e2b3fc1f4579ad3f05f218043b32",""
"id-8ff5c5b805a546fcb3396e55f85380cf","RealizationRelationship","","","id-996995356116460bb837b8dcff56028a","id-0e352a92a12342a38681d1dd05beedbd",""
"id-c67dbef1aa44488f96f63a786d8f13e6","RealizationRelationship","","","id-996995356116460bb837b8dcff56028a","id-2ce8e94344e2476192fa8ddf1e19d653",""
"id-5e8e9a78e03f4ed0a17710dfe33b25ca","RealizationRelationship","","","id-8322dc854d0c43b1a5ec14f0103ed14a","id-1c37c79635824aa797071be89d8b3358",""
"id-7c7d0743bdb043f9a1cf6ec9aad34ac5","RealizationRelationship","","","id-8322dc854d0c43b1a5ec14f0103ed14a","id-dc544c8f4c96415cb44c40d2472138f0",""
"id-aa24b1fa0aae4735953b71dcfb0bdb94","RealizationRelationship","","","id-8322dc854d0c43b1a5ec14f0103ed14a","id-aa4a3fc17ca4494d9d2b5ba8a8b58f51",""
"id-117339c3f3124d22a8971cf6c67e7fc3","RealizationRelationship","","","id-996995356116460bb837b8dcff56028a","id-54f6c515a561461783502bb3666b0fa6",""
"id-1a53c627edc0416294de9ef9a38bc31f","RealizationRelationship","","","id-66c3818a038341668429339fabd5989a","id-868dcc15cd2440c2b1058576f4bce013",""
"id-d022cc99c7cc4b15a63d10635e27cd6b","RealizationRelationship","","","id-9becee710eca4b58becb1c072cbe1a02","id-6c23fd37287c4ed1a3fc3daac67f5017",""
"id-0a7ffad55aad4fb397328645eb6637ed","RealizationRelationship","","","id-49040fed82dd4759ae0f75d62996bb03","id-5e8ed4643f6047278462bd8271f9c16b",""
"id-b68b5d578626459d85c3bdbe2eb10464","RealizationRelationship","","","id-a2417deb27524d08909e1128d720d9f1","id-5e8ed4643f6047278462bd8271f9c16b",""
"id-ca13be111a564076a6737bd81a6194c9","RealizationRelationship","","","id-358695ea3b064e0e8394d8a29652845e","id-5e8ed4643f6047278462bd8271f9c16b",""
"id-5f08d123235743438f314e87765d0ff3","RealizationRelationship","","","id-2a925bdd5a50499dab3916c2b91034df","id-02dc09d15b8444c6854384b17605fcb5",""
"id-b63c6955338744968394c6d55b93d5c9","RealizationRelationship","","","id-7850b73d6376404d90dc327e9286ec75","id-2f77577dede341f3a73c470f2a2744e8",""
"id-ed5d2f60437949d0aeaca69deabee953","RealizationRelationship","","","id-c4380254b56945e09c062d1fa8f11051","id-ce0f2d9ddcdc4ac19152cfba6611dc07",""
"id-7535541fb79545148cecdfa322783945","RealizationRelationship","","","id-2f77577dede341f3a73c470f2a2744e8","id-447152e57f18484fb6a5dc46651e28ae",""
"id-a67a6b1cc6ac429fbfbaefa017a180e0","RealizationRelationship","","","id-2f77577dede341f3a73c470f2a2744e8","id-010f156c59dd42a6bf3464277229321c",""
"id-af8f5e1ed09a4691bb15592beae6c0be","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-5bdd9bcbaefe4d45a4e2a6bede9d56fa",""
"id-53666f00e81a42dd8b3f0ca6f21f198d","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-975100ce48f24c8791888e2cacfedfd6",""
"id-e265ee7d8efd49aa883d7b22dc28e15a","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-7f036ad2bfea4611b69a7914ea6355a5",""
"id-9b64c0f2807c4f02a75bd5490942766a","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-c9b86f931ca74d1eb3f8ba82cd319e03",""
"id-683c6a7904b74d34b3f697627c0368d2","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-1956574c754a41e0a9de019f5199ec1c",""
"id-59753a4e5f3f413fbf943d09fb97647f","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-b6ad564a65a445448cd2b7178364f5c7",""
"id-4d194cbb00d14dabba8e2b4d60f5bab1","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-2385001c31ac4842a64f75f612fcf997",""
"id-e5fb0a830fca4cf78184b136e16aa15a","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-949562c94da04863a6c69b1c910ae429",""
"id-e3df3eedb62b4c83b6088aa5feb02927","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-215ed8229f29403d912169fc7e8753f8",""
"id-f06f320166124ee3b11e7db3371a8ad9","RealizationRelationship","","","id-ce0f2d9ddcdc4ac19152cfba6611dc07","id-6cb3f4d7838a41be9b6265513e9039b0",""
"id-647593c6dc5a410abe22c7cd5bf765cb","RealizationRelationship","","","id-6584a0c8a6484048924d1288a3636c54","id-8268fb4d35fd44c8bc02c3fe75f31402",""
"id-6041aef6b5f94382b0ded6c3245be89c","RealizationRelationship","","","id-6584a0c8a6484048924d1288a3636c54","id-77d0cf9d55934478b01e56d798b39a79",""
"id-ca4b73f372cf480a973a856f40aba2e6","RealizationRelationship","","","id-6584a0c8a6484048924d1288a3636c54","id-adcc8e9aa7454d43b98138c83f781a04",""
