"ID"	"Type"	"Name"	"Documentation"	"Source"	"Target"	"Specialization"
"id-6b923a76c4494be0a075ef477021b395"	"AssociationRelationship"	""	""	"id-b282aec696124ca8bb558a764cebf16e"	"id-d144bce3aab345f49e9ff694491c5770"	""
"id-aae6da67e0564ed9b2dfded9eb506d1e"	"AssociationRelationship"	""	""	"id-b282aec696124ca8bb558a764cebf16e"	"id-6c23fd37287c4ed1a3fc3daac67f5017"	""
"id-a0d31087bf78470fbb0e2512d454a73d"	"AssociationRelationship"	""	""	"id-b282aec696124ca8bb558a764cebf16e"	"id-215ed8229f29403d912169fc7e8753f8"	""
"id-dc6f86b20eae499c9dd611ecc0271df5"	"AssociationRelationship"	""	""	"id-0263e98a331f470e96d72b87f7e40bbd"	"id-0af5506e7b3d465bbeda8d56ef92dba3"	""
"id-7bcc3cc437b54ccb9ce298adeeceae73"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-60ac7a67a5a84d5cb4275fc70ca6ad11"	""
"id-85c00c9294f54301b6e33a78cd57413c"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-447152e57f18484fb6a5dc46651e28ae"	""
"id-8e5a14a716c14a41ba5c9139dec5f540"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-adcc8e9aa7454d43b98138c83f781a04"	""
"id-691bab9478a2472e8f412016e6645c7e"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-8268fb4d35fd44c8bc02c3fe75f31402"	""
"id-712062effc304e43a672ca08e6e4ea27"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-6c23fd37287c4ed1a3fc3daac67f5017"	""
"id-51f4aff2ce6447a290d492028e9b83f2"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-6cb3f4d7838a41be9b6265513e9039b0"	""
"id-5f63607339384749842445798d4a85b7"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-5bdd9bcbaefe4d45a4e2a6bede9d56fa"	""
"id-aca8ed1f93a346e996480c71bf0ca50d"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-f281bc4d4fc24b8290dfdfea170788ba"	""
"id-1d1f707eedd046b68b7cd5ad2614e154"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-da8744d4fb2c4e918ff449ebc1d21f8f"	""
"id-5149eff41e534f27a6e37d9001ef94ad"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-1daa06c809a9468d8ffc9bf59ea6fa60"	""
"id-df0a6d687a454e3aa245cd26e03fd86b"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-985aea66c48e4b55b642e3011d0cd159"	""
