"ID"	"Key"	"Value"
"id-c41106a013084b76a1fdb3921cb726a7"	"Directed"	"false"
"id-21038741066b454a8465e78f6f1f81f8"	"Directed"	"false"
"id-627f56dfb80d4a3bacb99424ab28b6a6"	"Directed"	"false"
"id-0c83e3107f3e4293bb04f29a058ba192"	"Directed"	"false"
"id-fa5e7fb43bc64deeb445031afa75c4b4"	"Directed"	"false"
"id-749e77e140674368a33ad09c53e50079"	"Directed"	"false"
"id-8e039e739d894d8e82ec06a9f0148e91"	"Directed"	"false"
"id-54240764c949464f8df58671b53a4c82"	"Directed"	"false"
"id-e5c7d2d344754581987ad3e2d102024d"	"Directed"	"false"
"id-73b182db7b3d43c180572bd0ce48480d"	"Directed"	"false"
"id-5132cd164b2f4a8bbdfbc5a87fa7832f"	"Directed"	"false"
"id-3104e839ed624d709abccf29b9a6f23a"	"Directed"	"false"
"id-7b2b97d9d11940deb4d7669bf1c4fdd5"	"Directed"	"false"
"id-51728a1acc124ca2b94456885c1b5022"	"Directed"	"false"
"id-9e3ccf9c6a3d4485b23b071548bf1107"	"Directed"	"false"
"id-75b8e7599e094b889de35a365e3185e5"	"Directed"	"false"
"id-abd4893993da4e3baab8c391bf0090ce"	"Directed"	"false"
"id-33b09fa25efb4978b5c5d2c9be1a7afa"	"Directed"	"false"
"id-656017323db840cf955b2b193690cc99"	"Directed"	"false"
"id-007b39c5bd2a489bab8d281a72672dac"	"Directed"	"false"
"id-e4ddbbadb1904780b65d6f73b5a93e9f"	"Directed"	"false"
"id-f2e1847eb15345b8acb8e6e63474b83c"	"Directed"	"false"
"id-48c0d1201ba242ee8dd5470463dc5efe"	"Directed"	"false"
"id-cca3573d7a354218a519f2714c4fbc57"	"Directed"	"false"
"id-82d397a84d48430092358b847a2d36cb"	"Directed"	"false"
"id-23d433d827ab46dca8e5ce412363db8d"	"Directed"	"false"
"id-d7f56e7e849f4aa285e64fa164a36ce5"	"Directed"	"false"
"id-eb0ef2833a4447919c710cad508e222d"	"Directed"	"false"
"id-f61dae26825e4a019be6b26fe06acc4a"	"Directed"	"false"
"id-3ea97f75a4784a52bb822dafba094ed0"	"Directed"	"false"
"id-6487f02ea5664059b982f8980ac8b9f2"	"Directed"	"false"
"id-6a041b4a2ff24bbaae8ff9d5acd55a48"	"Directed"	"false"
"id-ae94643673f6490597e9b6ffb305a925"	"Directed"	"false"
"id-fae36b63b9ec49f7afda8fcaafb07620"	"Directed"	"false"
"id-cc36a059e09f4c3aab63d208d917b526"	"Directed"	"false"
"id-bda64741bf1540058f585453046bf927"	"Directed"	"false"
"id-c8b376f14e394c97a053f2ffd7235601"	"Directed"	"false"
